Language,Text
Afrikaans,1 Elkeen het die reg tot vryheid van beweging en verblyf binne die grense  van elke staat  2 Elkeen het die reg om enige land te verlaat insluitende sy eie en na sy  land terug te keer  Artikel
Azerbaijani,1  Hər bir insan hər bir dövlətin hüdudları daxilində sərbəst hərəkət etmək və özünə  yaşayış yeri seçmək hüququna malikdir    2  Hər bir insan öz ölkəsi də daxil olmaqla istənilən ölkəni tərk etmək və öz ölkəsinə  qayıtmaq hüququna malikdir         Maddə
Belarusian,Kožny čałaviek maje prava svabodna pieramiaščacca i vybiracʹ sabie miescapražyvannie ŭ miežach kožnaj dziaržavy Kožny čałaviek maje prava pakidacʹ lubuju krainu uklučajučy svaju ŭłasnuju i viartacca ŭ svaju krainu Artykuł
Cantonese,tiu4 ㈠  jan4 jan4 hai2 gok3 gwok3 ging2 noi6 jau5 kyun4 zi6 jau4 cin1 saai2 tung4 geoi1 zyu6  ㈡  jan4 jan4 jau5 kyun4 lei4 hoi1 jam6 ho4 gwok3 gaa1 baau1 kut3 keoi5 bun2 gwok3 zoi6 noi6 bing6 jau5 kyun4 faan2 wui4 keoi5 ge3 gwok3 gaa1 dai6
Catalan,1 Tota persona té dret a circular lliurement i a triar la seva residència dins les fronteres de cada Estat 2 Tota persona té dret o sortir de qualsevol país àdhuc el propi i a retornar hi Article
Cebuano,1 Ang matag usa adunay katungod sa kagawasan sa paglihok ug puloy  anan sulod sa kaugalingong utlanan sa matag nasud  2 Ang matag usa adunay katungod sa pagbiya sa bisan unsang nasud lakip  and iyang kaugalkingon ug sa pagbalik sa iyang nasud  Artikulo
Czech,1 Každý má právo volně se pohybovat a svobodně si volit bydliště uvnitř  určitého státu   2 Každý má právo opustit kteroukoli zemi i svou vlastní a vrátit se do své  země   Článek
Danish,Enhver har ret til at bevæge sig frit og til frit at vælge opholdssted indenfor hver stats grænser Enhver har ret til at forlade et hvilket som helst land herunder sig eget og til at vende tilbage til sit eget land Artikel
Dutch,1 Een ieder heeft het recht zich vrijelijk te verplaatsen en te vertoeven binnen de grenzen van elke Staat 2 Een ieder heeft het recht welk land ook met inbegrip van het zijne te verlaten en naar zijn land terug te keren Artikel
English,1 Everyone has the right to freedom of movement and residence within the  borders of each State   2 Everyone has the right to leave any country including his own and to  return to his country   Article
Estonian,Igal inimesel on õigus riigi piires vabalt liikuda ja oma elukoht valida Igal inimesel on õigus lahkuda ükskõik milliselt maalt kaasa arvatud kodumaa ja kodumaale tagasi pöörduda Artikkel
Finnish,artikla  13 artikla  13 artikla  13 artikla        1  Jokaisella on oikeus liikkua vapaasti ja valita asuinpaikkansa kunkin  valtion sisällä      2 Jokaisella on oikeus lähteä maasta myös omasta maastaan ja palata  maahansa
French,1 Toute personne a le droit de circuler librement et de choisir sa résidence à  l intérieur d un Etat   2 Toute personne a le droit de quitter tout pays y compris le sien et de revenir dans son pays   Article
Frisian,Elk hat it rjocht om him frij te ferpleatsen en te ferbliuwen binnen de grinzen fan elke steat Elk hat it rjocht om elk lân syn eigen ynbegrepen te ferlitten en yn syn lân werom te kommen Kêst
Galician,Toda persoa ten dereito a circular libremente e a elixir a súa residencia no territorio dun estado Toda persoa ten dereito a saír de calquera país incluso do propio e a voltar ó seu país Artigo
German,1 Jeder hat das Recht sich innerhalb eines Staates frei zu bewegen und seinen  Aufenthaltsort frei zu wählen  2 Jeder hat das Recht jedes Land einschließlich seines eigenen zu verlassen und in  sein Land zurückzukehren  Artikel
Hawaiian,Ua noa i nā kānaka apau ka pono kīvila o ka hele a noho ‘ana ma loko o ka palena o ke aupuni Ua noa i nā kānaka apau ka ha’alele ‘ana i kēlā aupuni kēia aupuni a me kona aupuni iho a ua noa ka ho’i ‘ana i kona aupuni Paukū
Hungarian,cikk   1 Az államon belül minden személynek joga van szabadon mozogni és lakóhelyét  szabadon megválasztani   2 Minden személynek joga van minden országot ideértve saját hazáját is elhagyni  valamint saját hazájába visszatérni
Icelandic,grein Frjálsir skulu menn vera ferða sinna og dvalar innan landamæra hvers ríkis Rétt skal mönnum vera að fara af landi burt hvort sem er af sínu landi eða öðru og eiga afturkvæmt til heimalands síns
Igbo,Onye o̟ bu̟la nwere ikike ohere ngaghari̟ na nke obibi n ime oke ala nke Steti o̟ bu̟la Onye o̟ bu̟la nwere ikike i̟hapu̟ ala o̟ bu̟la tiyere ala nke ya ma nweekwa ikike ilo̟ghachi n ala ya Nkeji edemede
Ilocano,1 Iti tunggal meusa adda kalinteganna nga umakar nga siwawayawaya ken  makapagtaeng iti uneg a saksakupen iti tunggal estado      2 Adda kalintegan ti siasinoman a pumanaw ken mapan iti sadinoman a  pagilyan ken agsublinto manen  Artikulo
Indonesian,1 Setiap orang berhak atas kebebasan bergerak dan berdiam di dalam  batas batas setiap negara       2 Setiap orang berhak meninggalkan sesuatu negeri termasuk negerinya  sendiri dan berhak kembali ke negerinya   Pasal
Irish,1  Tá ag gach uile dhuine an ceart ar ghluaiseacht agus ar cónaí taobh  istigh de theorainn gach Stát     2  Tá an ceart ag gach uile dhuine imeacht as aon tír lena n áirítear a thír  féin agus filleadh ar a thír     Airteagal
Italian,1  Ogni individuo ha diritto alla libertà di movimento e di residenza entro i  confini di ogni Stato   2  Ogni individuo ha diritto di lasciare qualsiasi paese incluso il proprio e  di ritornare nel proprio paese    Articolo
Javanese,1 Saben uwong darbe hak tumrap bebasing tumindak utawa ora nindakake  apa apa ing sajroning laladan wewengkoning negara  2 Saben uwong darbe hak ninggalake sadhengah negara kalebu negarane  dhewe lan darbe hak bali maneh menyang negarane   BAB
Kazakh,bap Ѕr adamnıњ ѕr memlekettiњ işinde jџrip tђrwına jѕne љz ќalawınşa tђratın meken jaydı taњdawına ќђќıѓı bar Ѕr adam kez kelgen elden sonıњ işinde љziniњ twѓan elinen basќa elge ќonıs awdarwѓa jѕne љz eline ќaytıp oralwѓa ќђќılı
Kyrgyz,statʼja  1 Ar bir adam ar bir mamlekettin çeginde een erkin cürüügö cana özünö  caşaj turğan cer tandap aluuğa uquqtuu   2 Ar bir adam öz ölkösün qoşup alğanda bardyq ölködön çyğyp ketüügö  cana öz ölkösünö qajtyp kelüügö uquqtuu
Latvian,pants Ikvienam ir tiesìbas brìvi pârvietoties un izvèlèties sev dzìvesvietu ikvienâ valstì Ikvienam ir tiesìbas atstât jebkuru arì savu valsti un atgriezties savâ valstì
Lithuanian,straipsnis Kiekvienas žmogus turi teisę laisvai kilnotis ir laisvai pasirinkti gyvenamąją vietą kiekvienoje valstybėje Kiekvienas žmogus turi teisę išvažiuoti iš kiekvienos šalies įskaitant savąją ir grįžti į savo šatį
Malagasy,Zon ny olona rehetra ny mivezivezy an kalalahana ary mifidy izay toerana tiany hipetrahana ao anatin ny fanjakana iray Zon ny olon drehetra koa ny miala amina tany iray eny fa na dia ny taniny aza ka miverina amin ny tany misy azy ANDININY FAHA
