Language,Text
Afrikaans,1 Elkeen het die reg tot vryheid van vreedsame vergadering en assosiasie  2 Niemand sal gedwing word om aan  n assosiasie te behoort nie  Artikel
Azerbaijani,1  Hər bir insan dinc yığıncaqlar keçirmək və assosiasiyalar qurmaq hüququna  malikdir    2  Heç kim hər hansı bir assosiasiyaya daxil olmağa məcbur edilə bilməz       Maddə
Belarusian,Kožny čałaviek maje prava na svabodu mirnych schodaŭ i asacyjacyj Nichto nie pavinien prymušacca ŭstupacʹ u jakuju niebudzʹ asacyjacyju Artykuł
Cantonese,tiu4 ㈠  jan4 jan4 jau5 kyun4 hoeng2 jau5 wo4 ping4 zaap6 wui2 gim1 git3 se5 ge3 zi6 jau4  ㈡  jam6 ho4 jan4 m4 hou2 bik1 sai2 dai6 suk6 jyu1 mau5 jat1 tyun4 tai2   dai6
Catalan,1 Tota persona té dret a la llibertat de reunió i d associació pacífiques 2 Ningú no pot ser obligat a pertànyer a una associació Article
Cebuano,1 Ang matag usa adunay katungod sa kagawasan sa malinawong  asembleya ug asosasyon  2 Walay si bisan kinsa ang mapugos sa pagpasakop sa asosasyon  Artikulo
Czech,1 Každému je zaručena svoboda pokojného shromažďování a sdružování   2 Nikdo nesmí být nucen aby byl členem nějakého sdružení   Článek
Danish,Alle har ret til under fredelige former frit at forsamles og danne foreninger Ingen kan tvinges til at være medlem af en forening Artikel
Dutch,1 Een ieder heeft recht op vrijheid van vreedzame vereniging en vergadering 2 Niemand mag worden gedwongen om tot een vereniging te behoren Artikel
English,1 Everyone has the right to freedom of peaceful assembly and association   2 No one may be compelled to belong to an association   Article
Estonian,Igal inimesel on õigus rahumeelse kogunemise ja liitumise vabadusele Kedagi ei või sundida ükskõik millisesse assotsiatsiooni astuma Artikkel
Finnish,artikla  20 artikla  20 artikla  20 artikla        1  Kaikilla on oikeus rauhanomaiseen kokoontumis  ja yhdistymisvapauteen      2  Ketään ei saa pakottaa liittymään mihinkään yhdistykseen
French,1 Toute personne a droit à la liberté de réunion et d association pacifiques   2 Nul ne peut être obligé de faire partie d une association   Article
Frisian,Elk hat rjocht op frijheid fan freedsume feriening en gearkomste Nimmen mei twongen wurde om by in feriening te hearren Kêst
Galician,Toda persoa ten dereito á liberdade de reunión e de asociación pacíficas Ninguín poderá ser obrigado a pertencer a unha asociación Artigo
German,1 Alle Menschen haben das Recht sich friedlich zu versammeln und zu  Vereinigungen zusammenzuschließen  2 Niemand darf gezwungen werden einer Vereinigung anzugehören  Artikel
Hawaiian,Ua noa i nā kānaka apau ka hui maluhia ‘ana me nā kānaka ‘ē a’e ‘A’ole e koi ‘ia ke kanaka e komo i ka hui Paukū
