Language,Text
Afrikaans,1 Almal het die reg om vrylik aan die kulturele lewe van hul gemeenskap  deel te neem om die kunste te geniet en in wetenskaplike vooruitgang en  voordele te deel  2 Elkeen het die reg tot die beskerming van die morele en materi‘le belange  wat spruit uit enige wetenskaplike letterkundige of kunswerk deur hom  geproduseer  Artikel
Azerbaijani,1  Hər bir insan cəmiyyətin mədəni həyatında iştirak etmək incəsənətdən həzz  almaq elmi tərəqqidə iştirak etmək və onun nemətlərindən istifadə etmək hüququna  malikdir    2  Hər bir insan müəllifi olduğu elmi ədəbi və bədii əsərlərin nəticəsi olan mənəvi və  maddi mənafelərinin müdafiə olunması hüququna malikdir      Maddə
Belarusian,Kožny čałaviek maje prava svabodna ŭdziełʹničacʹ u kułʹturnym žycci gramadstva ciešycca mastactvam udziełʹničacʹ u navukovym pragresie i karystacca jago dabrotami Kožny čałaviek maje prava na achovu jago marałʹnych i materyjałʹnych intaresaŭ što źaŭlajucca vynikam navukovych łitaraturnych abo mastackich prac aŭtaram jakich jon źaŭlajecca Artykuł
Cantonese,tiu4 ㈠  jan4 jan4 jau5 kyun4 zi6 jau4 sam1 gaa1 se5 wui2 ge3 man4 faa3 saang1 wut6 hoeng2 sau6 ngai6 seot6 gim1 fan1 hoeng2 fo1 hok6 zeon3 bou6 tung4 maai4 keoi5 caan2 saang1 ge3 fuk1 lei6 ㈡  jan4 jan4 deoi3 jau4 jyu1 keoi5 so2 cong3 zok3 ge3 jam6 ho4 fo1 hok6 man4 hok6 waak6 mei5 seot6 zok3 ban2 ji4 caan2 saang1 ge3 zing1 san4 ge3 tung4 maai4 mat6 zat1 ge3 lei6 jik1 jau5 hoeng2 sau6 bou2 wu6 ge3 kyun4 lei6   dai6
Catalan,1 Tota persona té dret a participar lliurement en la vida cultural de la comunitat a gaudir de les arts i a participar i beneficiar se del progrés científic 2 Tota persona té dret a la protecció dels interessos morals i materials derivats de les produccions científiques literàries o artístiques de què sigui autor Article
Cebuano,1 Ang matag usa adunay katungod sa gawasnon nga pagsalmot sa mga  kulturanhong kinabuhi sa katilingban sa pagtagamtam sa mga arte ug  pagpaambit sa siyentipikong kauswagan ug mga binipisyo  2 Ang matag usa adunay katungod sa panalipod sa moral ug material nga  mga interes nga resulta gikan sa bisan unsang siyentipiko literaryo o  artistikong panggama nga diin siya ang nagmugna  Artikulo
Czech,1 Každý má právo svobodně se účastnit kulturního života společnosti úžívat  plodů umění a podílet se na vědeckém pokroku a jeho výtěžcích   2 Každý má právo na ochranu morálních a materiálních zájmů které  vyplývají z jeho vědecké literární nebo umělecké tvorby   Článek
Danish,Enhver har ret til frit at deltage i samfundets kulturelle liv til kunstnydelse og til at blive delagtiggjort i videnskabens fremskridt og dens goder Enhver har ret til beskyttelse af de moralske og materielle interesser der hidrører fra en hvilken som helst videnskabelig litterær eller kunstnerisk frembringelse som vedkommende har skabt Artikel
Dutch,1 Een ieder heeft het recht om vrijelijk deel te nemen aan het culturele leven van de gemeenschap om te genieten van kunst en om deel te hebben aan wetenschappelijke vooruitgang en de vruchten daarvan 2 Een ieder heeft het recht op de bescherming van de geestelijke en materiële belangen voortspruitende uit een wetenschappelijk letterkundig of artistiek werk dat hij heeft voortgebracht Artikel
English,1 Everyone has the right freely to participate in the cultural life of the  community to enjoy the arts and to share in scientific advancement and  its benefits       2 Everyone has the right to the protection of the moral and material interests  resulting from any scientific literary or artistic production of which he is the  author   Article
Estonian,Igal inimesel on õigus ühiskonna kultuurielust vabalt osa võtta kunsti nautida teaduse progressi oma panus anda ja selle progressi hüvesid kasutada Igal inimesle on õigus oma moraalsete ja materiaalsete huvide kaitsele mis johtuvad teaduslikest töödest kunsti  ja kirjandusteostest mille autoriks ta on Artikkel
