Language,Text
Afrikaans,Elkeen het die reg tot rus en vrye tyd insluitend redelike beperkings op werksure  en periodieke betaalde verlof  Artikel
Azerbaijani,Hər bir insan iş gününün səmərəli məhdudlaşdırılması və ödənilən vaxtaşırı məzuniyyət  hüququ da daxil edilməklə istirahət və asudə vaxt hüququna malikdir      Maddə
Belarusian,Kožny čałaviek maje prava na adpačynak i vołʹny čas uklučajučy prava na razumnaje abmiežavannie rabočaga dnia i na pieryjadyčny vodpusk jaki apłačvajecca  Artykuł
Cantonese,tiu4 jan4 jan4 jau5 hoeng2 jau5 jau1 sik1 gim1 haan4 haa6 ge3 kyun4 lei6 baau1 kut3 gung1 zok3 si4 gaan1 jau5 hap6 lei5 haan6 zai3 tung4 maai4 ding6 kei4 kap1 san1 jau1 gaa3 ge3 kyun4 lei6 dai6
Catalan,Tota persona té dret al descans i al lleure i particularment a una limitació raonable de la jornada de treball i a vacances periòdiques pagades Article
Cebuano,Ang matag usa adunay katungod sa pagpahulay ug paglulinghayaw lakip na ang  makatarunganong limitasyon sa oras sa pagtrabaho ug matag karon ug unya  nga bakasyon nga may suhol  Artikulo
Czech,Každý má právo na odpočinek a na zotavení zejména také na rozumné  vymezení pracovních hodin a na pravidelnou placenou dovolenou   Článek
Danish,Enhver har ret til hvile og fritid herunder en rimelig begrænsning af arbejdstiden og til periodisk ferie med løn  Artikel
Dutch,Een ieder heeft recht op rust en op eigen vrije tijd met inbegrip van een redelijke beperking van de arbeidstijd en op periodieke vakanties met behoud van loon Artikel
English,Everyone has the right to rest and leisure including reasonable limitation of  working hours and periodic holidays with pay       Article
Estonian,Igal inimesel on õigus puhkeajale ja vaba aja veetmisele kaasa arvatud tööpäeva mõistlik lühendamine ja tasutav perioodiline puhkus  Artikkel
