Language,Text
Afrikaans,1 Elkeen het die reg om te werk tot die vrye keuse van arbeid tot  regverdige en gunstige werksomstandighede en tot beskerming teen  werkloosheid  2 Elkeen sonder diskriminasie het die reg tot gelyke betaling vir gelyke  werk  3 Elkeen wat werk kan aanspraak maak op regverdige vergoeding wat aan  hom en sy familie  n menswaardige bestaan verseker en wat aangevul kan  word deur ander vorms van sosiale sekerheid indien nodig  4 Elkeen het die reg ter beskerming van sy belange om vakbonde te stig  en daarby aan te sluit      Artikel
Azerbaijani,1  Hər bir insan işləmək istədiyi işi sərbəst seçmək ədalətli və əlverişli iş şəraitinə  malik olmaq və işsizlikdən müdafiə olunmaq hüququna malikdir    2  Hər bir insan heç bir ayrı seçkiliyə məruz qalmadan bərabər əməyə görə bərabər  haqq almaq hüququna malikdir    3  Đşləyən hər bir insan onun özünün və ailəsinin layiqli dolanışığını təmin edən  ədalətli və qənaətbəxş həcmdə zəruri hallarda isə digər sosial təminat vəsaitləri ona  əlavə edilməklə haqq almaq hüququna malikdir    4  Hər bir insan öz mənafelərini müdafiə etmək üçün həmkarlar ittifaqları yaratmaq  və həmkarlar ittifaqlarına daxil olmaq hüququna malikdir     Maddə
Belarusian,Kožny čałaviek maje prava na pracu na svabodny vybar raboty na spraviadłivyja i dobryja ŭmovy pracy i na achovu ad biespracoŭja Kožny čałaviek biez jakoj niebudzʹ dyskryminacyi maje prava na roŭnuju apłatu za roŭnuju pracu Kožny chto pracuje maje prava na spraviadłivuju i zdavałʹniajučuju ŭznagarodu jakaja zabiaspiečvaje vartaje čałavieka isnavannie dla jago samoga i jago siam’i i dapaŭniajecca pry nieabchodnasci inšymi srodkami sacyjałʹnaga zabiespiačennia Kožny čałaviek maje prava stvaracʹ prafiesijanałʹnyja sajuzy i ŭstupacʹ u prafiesijanałʹnyje sajuzy dla achovy svaich intaresaŭ Artykuł
Cantonese,tiu4 ㈠  jan4 jan4 jau5 kyun4 gung1 zok3 zi6 jau4 syun2 zaak6 zik1 jip6 hoeng2 sau6 gung1 zing3 gim1 hap6 sik1 keoi5 ge3 gung1 zok3 tiu4 gin6 gim1 hoeng2 sau6 min5 jyu1 sat1 jip6 ge3 bou2 zoeng3 ㈡  jan4 jan4 jau5 tung4 gung1 tung4 cau4 keoi5 ge3 kyun4 lei6 m4 sau6 jam6 ho4 kei4 si6  ㈢  mui5 jat1 go3 gung1 zok3 ge3 jan4 jau5 kyun4 hoeng2 sau6 gung1 zing3 gim1 hap6 sik1 keoi5 ge3 bou3 cau4 bou2 zing3 sai2 keoi5 bun2 jan4 gung6 gaa1 suk6 jau5 jat1 go3 fu4 hap6 jan4 ge3 zyun1 jim4 ge3 saang1 wut6 tiu4 gin6 bit1 jiu3 si4 bing6 fu6 ji5 kei4 taa1 fong1 sik1 ge3 se5 wui2 bou2 zoeng3  ㈣  jan4 jan4 jau5 wai4 wai4 wu6 keoi5 ge3 lei6 jik1 ji4 zou2 zik1 gim1 sam1 gaa1 gung1 wui2 ge3 kyun4 lei6  dai6
Catalan,1 Tota persona té dret al treball a la lliure elecció de la seva ocupació a condicions equitatives i satisfactòries de treball i a la protecció contra l atur 2 Tota persona sense cap discriminació té dret a salari igual per igual treball 3 Tothom que treballa té dret a una remuneració equitativa i satisfactòria que asseguri per a ell i la seva família una existència conforme a la dignitat humana completada si cal amb altres mitjans de protecció social 4 Tothom té dret a constituir sindicats per a la defensa dels seus interessos i a afiliar s hi Article
Cebuano,"1 Ang matag usa adunay katungod sa pagtrabaho sa gawasnong pagpili sa  trabaho sa maangayon ug mapuslanon nga mga kahimtang sa trabaho  ug sa panalipod batok sa walay trabaho  2 Ang matag usa sa walay pagpinig adunay katungod sa managsamang  suhol sa samang trabaho  3 Ang matag usa nga nagtrabaho adunay katungod sa maangayon ug  mapuslanon nga suhol nga maghatag kasegurohan sa iyang kaugalingon  og sa iyang pamilya ang pagkinabuhi nga angayansa tawhanong  kaambong ug dugang kung gikinahanglan sa ubang paagi sa sosyal nga  panalipod  4 Ang matag usa adunay katungod sa pagporma ug sa pagsalmot sa ""trade  unions"" alang sa panalipod sa iyang tinguha  Artikulo"
Czech,1 Každý má právo na práci na svobodnou volbu zaměstnání na  spravedlivé a uspokojivé pracovní podmínky a na ochranu proti  nezaměstnanosti   2 Každý bez jakéhokoli rozlišování má nárok na stejný plat za stejnou  práci   3 Každý pracující má právo na spravedlivou a uspokojivou odměnu která by  zajišťovala jemu samému a jeho rodině živobytí odpovídající lidské  důstojnosti a která by byla doplněna kdyby toho bylo třeba jinými  prostředky sociální ochrany   4 Na ochranu svých zájmů má každý právo zakládat s jinými odborové  organizace a přistupovat k nim   Článek
Danish,Enhver har ret til arbejde til frit valg af beskæftigelse til retfærdige og gunstige arbejdsvilkår og til beskyttelse mod arbejdsløshed Enhver har uden forskel ret til lige løn for lige arbejde Enhver der arbejder har ret til et retfærdigt og gunstigt vederlag der sikrer ham selv og hans familie en menneskeværdig tilværelse og om fornødent tillige til andre sociale beskyttelsesforanstaltninger Enhver har ret til at danne og indtræde i fagforeninger til beskyttelse af sine interesser Artikel
Dutch,1 Een ieder heeft recht op arbeid op vrije keuze van beroep op rechtmatige en gunstige arbeidsvoorwaarden en op bescherming tegen werkloosheid 2 Een ieder zonder enige achterstelling heeft recht op gelijk loon voor gelijke arbeid 3 Een ieder die arbeid verricht heeft recht op een rechtvaardige en gunstige beloning welke hem en zijn gezin een menswaardig bestaan verzekert welke beloning zo nodig met andere middelen van sociale bescherming zal worden aangevuld 4 Een ieder heeft het recht om vakverenigingen op te richten en zich daarbij aan te sluiten ter bescherming van zijn belangen Artikel
English,1 Everyone has the right to work to free choice of employment to just and  favourable conditions of work and to protection against unemployment   2 Everyone without any discrimination has the right to equal pay for equal  work   3 Everyone who works has the right to just and favourable remuneration  ensuring for himself and his family an existence worthy of human dignity  and supplemented if necessary by other means of social protection   4 Everyone has the right to form and to join trade unions for the protection of  his interests   Article
Estonian,Igal inimesel on õigus tööle töö vabale valikule õiglastele ja soodsatele töötingimustele ning kaitsele tööpuuduse eest Igal inimesel on ilma igasuguse diskrimineerimiseta võrdsele tasule võrdse töö eest Igal töötajal on õigus õiglasele ja rahuldavale tasule mis tagab inimväärilise elatuse temale endale ja ta perekonnale ja mida vajaduse korral täiendatakse sotsiaalkindlustuse teiste vahenditega Igal inimesel on õigus on luua ametühinguid ja oma huvide kaitseks ametühingutesse astuda Artikkel
Finnish,artikla  23 artikla  23 artikla  23 artikla        1  Jokaisella on oikeus työhön työpaikan vapaaseen valintaan  oikeudenmukaisiin ja tyydyttäviin työehtoihin sekä suojaan työttömyyttä  vastaan      2  Jokaisella on oikeus ilman minkäänlaista syrjintää samaan palkkaan  samasta työstä      3  Jokaisella työtä tekevällä on oikeus kohtuulliseen ja riittävään palkkaan  joka turvaa hänelle ja hänen perheelleen ihmisarvon mukaisen  toimeentulon ja jota tarpeen vaatiessa täydentävät muut sosiaalisen  suojelun keinot      4  Jokaisella on oikeus perustaa ammattiyhdistyksiä ja liittyä niihin etujensa  puolustamiseksi
French,1 Toute personne a droit au travail au libre choix de son travail à des conditions  équitables et satisfaisantes de travail et à la protection contre le chômage   2 Tous ont droit sans aucune discrimination à un salaire égal pour un travail égal   3 Quiconque travaille a droit à une rémunération équitable et satisfaisante lui  assurant ainsi qu à sa famille une existence conforme à la dignité humaine et  complétée s il y a lieu par tous autres moyens de protection sociale   4 Toute personne a le droit de fonder avec d autres des syndicats et de s affilier à  des syndicats pour la défense de ses intérêts   Article
Frisian,Elk hat rjocht op wurk op frije kar fan berop op rjochtrnjittige en geunstige arbeids betingsten en op beskerming tsjin wurkleazens Elk hat sûnder ien of oare benefterstelling rjocht op itselde lean foar itselde wurk Elk dy't wurk docht hat rjocht op in rjochtfeardige en geunstige beleanning dy't him en syn húshâlding in minskweardich bestean mooglik makket dy beleanning sil sa nedich mei oare middels fan sosjale beskerming oanfolle wurde Elk hat it rjocht om fakferienings op te rjochtsjen en him dêr by oan te sluten om syn belangen te beskermjen Kêst
Galician,Toda persoa ten dereito ó traballo á libre elección do seu traballo a condicións equitativas e satisfactorias de traballo e á protección contra o desemprego Toda persoa ten dereito sen ningunha discrminación a igual salario por igual traballo Toda persoa que traballa ten dereito a unha remuneración equitativa e satisfactoria que lle asegure así como á súa familia unha existencia conforme á dignidade humana e que será completada en caso necesario por calquera outro medio de protección social Toda persoa ten dereito a fundar sindicatos e a sindicarse para a defensa dos seus intereses Artigo
German,1 Jeder hat das Recht auf Arbeit auf freie Berufswahl auf gerechte und  befriedigende Arbeitsbedingungen sowie auf Schutz vor Arbeitslosigkeit  2 Jeder ohne Unterschied hat das Recht auf gleichen Lohn für gleiche Arbeit  3 Jeder der arbeitet hat das Recht auf gerechte und befriedigende Entlohnung die  ihm und seiner Familie eine der menschlichen Würde entsprechende Existenz sichert  gegebenenfalls ergänzt durch andere soziale Schutzmaßnahmen  4 Jeder hat das Recht zum Schutze seiner Interessen Gewerkschaften zu bilden und  solchen beizutreten  Artikel
