Language,Text
Afrikaans,1 Elkeen het die reg tot asiel in ander lande  2 Daar mag nie op hierdie reg aanspraak gemaak word tydens vervolging  vir nie politieke oortredings of dade wat strydig is met die doelwitte en  beginsels van die Verenigde Volke nie  Artikel
Azerbaijani,1  Hər bir insan təqiblərdən qurtulmaq üçün digər ölkələrdə sığınacaq axtarmaq və  bu sığınacaqdan istifadə etmək hüququna malikdir    2  Bu hüquqdan əslində Birləşmiş Millətlər Təşkilatının məqsəd və prinsiplərinə zidd  olan qeyri siyasi xarakterli cinayətlər və ya əməllər törətməyə görə təqiblərdən  qurtulmağa çalışılması hallarında istifadə edilə bilməz         Maddə
Belarusian,Kožny čałaviek maje prava šukacʹ prystanišča ad prasledavannia ŭ inšych krainach i karystacca getym prystaniščam Geta prava nie moža bycʹ vykarystana ŭ vypadku prasledavannia sapraŭdy zasnavanaga na ŭčynienni niepałityčnaga złačynstva abo dziejannia što supiarečycʹ metam i pryncypam Arganizacyi Ab’jadnanych Nacyj Artykuł
Cantonese,tiu4 ㈠  jan4 jan4 jau5 kyun4 hoeng2 kei4 taa1 gwok3 gaa1 cam4 kau4 gim1 hoeng2 sau6 bei3 wu6 ji5 m4 bei2 bik1 hoi6  ㈡  hai2 zan1 zing3 jau4 jyu1 fei1 zing3 zi6 sing3 ge3 zeoi6 hang4 waak6 wai4 bui3 lyun4 hap6 gwok3 ge3 zung1 zi2 tung4 maai4 jyun4 zak1 ge3 hang4 wai4 ji4 bei2 hei2 sou3 ge3 cing4 fong3 haa6 m4 hou2 wun4 jung6 ne1 zung2 kyun4 lei6   dai6
Catalan,1 En cas de persecució tota persona té dret a cercar asil en altres països i a beneficiar se n 2 Aquest dret no podrà ser invocat contra una persecució veritablement originada per delictes comuns o per actes oposats als objectius i principis de les Nacions Unides Article
Cebuano,1 Ang matag usa adunay katungod sa pagtinguha ug sa paglingawlingaw sa  ubang nasud dalangpan gikan sa pagpanggukod o pagpanglutos  2 Kining maong mga katungod mahimong dili ikapangaliyupo sa higayon sa  mga pagedmanda diin matuod nga nagagikan sa dili politikal nga mga  kalapasan o gikan sa mga buhat nga supak sa mga katuyoan ug mga  sukaranan sa Tinipong Kanasuran  Artikulo
Czech,1 Každý má právo vyhledat si před pronásledováním útocištĕ v jiných  zemích a požívat tam azylu   2 Toto právo nelze uplatnit v prípadě stíhání skutečně odůvodneného  nepolitickými zločiny nebo činy které jsou v rozporu s cíli a zásadami  Spojených národů   Článek
Danish,Enhver har ret til i andre lande at søge og få tilstået asyl mod forfølgelse Denne ret må ikke påberåbes ved anklager der virkelig hidrører fra ikke politiske forbrydelser eller fra handlinger i strid med De forenede Nationers formål og principper Artikel
Dutch,1 Een ieder heeft het recht om in andere landen asiel te zoeken en te genieten tegen vervolging 2 Op dit recht kan geen beroep worden gedaan ingeval van strafvervolgingen wegens misdrijven van niet politieke aard of handelingen in strijd met de doeleinden en beginselen van de Verenigde Naties Artikel
English,1 Everyone has the right to seek and to enjoy in other countries asylum from  persecution   2 This right may not be invoked in the case of prosecutions genuinely  arising from non political crimes or from acts contrary to the purposes and  principles of the United Nations   Article
