Language,Text
Afrikaans,1 Elkeen het die reg om individueel en in assosiasie met ander eiendom te  besit  2 Niemand se eiendom sal arbitrêr afgeneem word nie  Artikel
Azerbaijani,1  Hər bir insan təkbaşına və ya başqaları ilə birlikdə əmlaka sahib olmaq hüququna  malikdir    2  Heç kim öz əmlakından özbaşınalıqla məhrum edilməməlidir    Maddə
Belarusian,Kožny čałaviek maje prava vałodacʹ majomasciu jak adnaasobna tak i sumiesna z inšymi Nichto nie pavinien bycʹ samavołʹna pazbaŭleny svajoj majomasci Artykuł
Cantonese,tiu4 ㈠  jan4 jan4 dak1 jau5 daan1 duk6 ge3 coi4 caan2 so2 jau5 kyun4 ji5 kap6 gung6 taa1 jan4 hap6 jau5 ge3 so2 jau5 kyun4  ㈡  jam6 ho4 jan4 ge3 coi4 caan2 m4 hou2 jam6 ji3 mok1 dyut6   dai6
Catalan,1 Tota persona té dret a la propietat individualment i col_lectiva 2 Ningú no serà privat arbitràriament de la seva propietat Article
Cebuano,1 Ang matag usa adunay katungod sa pagpanag iya og kaugalingong  kabtangan lakip ang pagpakig kumbuya sa uban  2 Walay si bisan kinsa nga sa walay katarungan kuhaan sa iyang  kabtangan      Artikulo
Czech,1 Každý má právo vlastnit majetek jak sám tak spolu sjinými   2 Nikdo nesmí být svévolně zbaven svého majetku   Článek
Danish,Enhver har ret til at eje ejendom såvel alene som i fællig med andre Ingen må vilkårligt berøves sin ejendom Artikel
Dutch,1 Een ieder heeft recht op eigendom hetzij alleen hetzij tezamen met anderen 2 Niemand mag willekeurig van zijn eigendom worden beroofd Artikel
English,1 Everyone has the right to own property alone as well as in association with  others   2 No one shall be arbitrarily deprived of his property   Article
Estonian,Igal inimesel on õigus vara omamisele nii üksikult kui ka teistega koos Kelleltki ei tohi tema vara meelevaldselt ära võtta Artikkel
Finnish,artikla  17 artikla  17 artikla  17 artikla        1  Jokaisella on oikeus omistaa omaisuutta yksin tai yhdessä toisten kanssa      2  Keltään älköön mielivaltaisesti riistettäkö hänen omaisuuttaan
French,1 Toute personne aussi bien seule qu en collectivité a droit à la propriété   2 Nul ne peut être arbitrairement privé de sa propriété   Article
Frisian,Elk hat rjocht op eigendom itsij allinne itsij yn 'e mande mei oaren Nimmen mei samar fan syn eigendom berôve wurde Kêst
Galician,Toda persoa ten dereito á propiedade individual e colectivamente Ninguín será privado arbitrariamente da súa propiedade Artigo
German,1 Jeder hat das Recht sowohl allein als auch in Gemeinschaft mit anderen Eigentum  innezuhaben  2 Niemand darf willkürlich seines Eigentums beraubt werden  Artikel
