Language,Text
Afrikaans,1 Elkeen het die reg om aan die regering van sy land deel te neem hetsy  direk of deur vrylik verkose verteenwoordigers  2 Elkeen het die reg tot gelyke toegang tot die openbare dienste in sy land  3 Die wil van die mense sal die basis vorm van die owerheid of regering en  hierdie wil sal uitgedruk word deur middel van egte tussenverkiesings  Artikel
Azerbaijani,1  Hər bir insan öz ölkəsinin idarə edilməsində bilavasitə və yaxud azad seçilən  nümayəndələr vasitəsilə iştirak etmək hüququna malikdir    2  Hər bir insan öz ölkəsində dövlət qulluğuna hamıyla bərabər yol tapmaq hüququna  malikdir    3  Xalqın iradəsi hökumətin hakimiyyətinin əsası olmalıdır bu iradə vaxtaşırı və  saxtalaşdırılmadan ümumi və bərabər seçki hüququ əsasında gizli səsvermə yolu ilə  və yaxud səsvermə azadlığını təmin edən digər eynimənalı formalar vasitəsilə keçirilən  seçkilərdə öz əksini tapmalıdır         Maddə
Belarusian,Kožny čałaviek maje prava prymacʹ udzieł u kiravanni svajoj krainaj niepasredna abo pry dapamozie svabodna vybranych pradstaŭnikoŭ Kožny čałaviek maje prava roŭnaga dostupu da dziaržaŭnaj słužby ŭ svajoj krainie Vola naroda pavinna bycʹ asnovaj ułady ŭrada geta vola pavinna znachodzicʹ sabie vyjaŭlennie ŭ pieryjadyčnych i niefałʹsifikavanych vybarach jakija pavinny pravodzicca pry ŭsieagułʹnym i roŭnym vybarčym pravie šlacham tajnaga gałasavannia abo pry dapamozie inšych raŭnaznačnych form što zabiaspiečvajucʹ svabodu gałasavannia Artykuł
Cantonese,tiu4 ㈠  jan4 jan4 jau5 zik6 zip3 waak6 tung1 gwo3 zi6 jau4 syun2 zaak6 ge3 doi6 biu2 sam1 jyu5 zi6 lei5 bun2 gwok3 ge3 kyun4 lei6  ㈡  jan4 jan4 jau5 ping4 dang2 gei1 wui2 sam1 gaa1 bun2 gwok3 gung1 mou6 ge3 kyun4 lei6  ㈢  jan4 man4 ge3 ji3 zi3 hai6 zing3 fu2 kyun4 lik6 ge3 gei1 co2 ；ne1 jat1 ji3 zi3 jing3 ji5 ding6 kei4 ge3 gim1 zan1 zing3 ge3 syun2 geoi2 jyu5 ji5 biu2 jin6 ji4 syun2 geoi2 jing3 ji1 geoi3 pou2 pin3 gim1 ping4 dang2 ge3 tau4 piu3 kyun4 bing6 ji5 bat1 gei3 ming4 tau4 piu3 waak6 soeng1 dong1 ge3 zi6 jau4 tau4 piu3 cing4 zeoi6 zeon3 hang4 dai6
Catalan,1 Tota persona té dret a participar en el govern del seu país directament o per mitjà de representants lliurement elegits 2 Tota persona té dret en condicions d igualtat a accedir a les funcions públiques del seu país 3 La voluntat del poble és el fonament de l autoritat de l Estat aquesta voluntat ha d expressar se mitjançant eleccions autèntiques que hauran de fer se periòdicament per sufragi universal i igual i per vot secret o per altre procediment equivalent que garanteixi la llibertat del vot Article
Cebuano,1 Ang matag usa adunay katungod sa pagsalmot sa panggamhanan sa  iyang kaugalingong nasud sa laktod o pinaagi sa pagpili ug mga  diputado  2 Ang matag usa adunay katungod sa managsamang pagsulod sa serbisyo  publiko sa iyang kaugalingong nasud  3 Ang kabubut on sa katawhan maoy basehanan sa gahum sa  kagamhanan kini gipadayag sa matag karon ug unya ug lunsay nga  piniliay nga ginahimo nga malukpanon ug managsamang katungod sa  pagboto og pagahimoon nga tinago nga pagboto o managsamang  gawasnon sa pagbotar      Artikulo
Czech,1 Každý má právo aby se účastnil vlády své země přímo nebo  prostřednictvím svobodně volených zástupců   2 Každý má právo vstoupit za rovných podmínek do veřejných služeb své  země       3 Základem vládní moci budiž vůle lidu ta musí být vyjádřena správne  prováděnými volbami které se mají konat v pravidelných obdobích na  základě všeobecného arovného hlasovacího práva tajným hlasováním  nebo jiným rovnocenným postupem zabezpečujícím svobodu hlasování   Článek
Danish,Enhver har ret til at deltage i sit lands styre enten direkte eller gennem frit valgte repræsentanter Enhver har ret til lige adgang til offentlige embeder og hverv i sit land Folkets vilje skal være grundlaget for regeringens myndighed denne vilje skal tilkendegives gennem periodiske og virkelige valg med almindelig og lige valgret og skal udøves gennem hemmelig afstemning eller tilsvarende frie afstemningsmåder Artikel
Dutch,1 Een ieder heeft het recht om deel te nemen aan het bestuur van zijn land rechtstreeks of door middel van vrij gekozen vertegenwoordigers 2 Een ieder heeft het recht om op voet van gelijkheid te worden toegelaten tot de overheidsdiensten van zijn land 3 De wil van het volk zal de grondslag zijn van het gezag van de Regering deze wil zal tot uiting komen in periodieke en eerlijke verkiezingen die gehouden zullen worden krachtens algemeen en gelijkwaardig kiesrecht en bij geheime stemmingen of volgens een procedure die evenzeer de vrijheid van de stemmen verzekert Artikel
English,1 Everyone has the right to take part in the government of his country  directly or through freely chosen representatives   2 Everyone has the right to equal access to public service in his country   3 The will of the people shall be the basis of the authority of government  this will shall be expressed in periodic and genuine elections which shall  be by universal and equal suffrage and shall be held by secret vote or by  equivalent free voting procedures   Article
