Language,Text
Afrikaans,1 Elkeen beskuldig van  n strafbare oortreding het die reg om as onskuldig  beskou te word tot skuldig bevind volgens die wet in  n openbare saak  waarin hy verseker is van die nodige verdediging  2 Niemand sal beskuldig word van  n strafbare oortreding as gevolg van  enige daad of nalatigheid wat volgens nasionale of internasionale wet nie   n misdaad ten tye van die pleeg daarvan was nie  n Swaarder straf sal  ook nie opgel word as die straf wat toepaslik was ten tye van die  oortreding nie  Artikel
Azerbaijani,1  Cinayət törətməkdə ittiham edilən hər bir insan ona bütün müdafiə imkanları təmin  edilməklə açıq məhkəmə araşdırması yolu ilə onun günahkar olduğu qanuni qaydada  müəyyən edilməyənə qədər günahsız hesab edilmək hüququna malikdir    2  Heç kim törədildiyi zaman milli qanunlara və ya beynəlxalq hüquqa görə cinayət  tərkibi daşımayan hər hansı bir əməl və ya fəaliyyətsizlik əsasında cinayət törətməkdə  ittiham oluna bilməz Habelə cinayətin törədildiyi zaman tətbiq edilə bilən cəzadan ağır  cəza verilə bilməz         Maddə
Belarusian,Kožny čałaviek jaki abvinavačvajecca ŭ złačynstvie maje prava łičycca nievinavatym da tago času pakułʹ jago vinavatascʹ nie budzie ŭstanoŭlena zakonnym paradkam šlacham pubłičnaga sudovaga razboru pry jakim jamu zabiaspiečvajucca ŭsie magčymasci dla abarony Nichto nie moža bycʹ asudžany za złačynstva na padstavie ŭčyniennia jakoga niebudzʹ dziejannia abo za biazdziejannie jakija ŭ čas ich učyniennia nie źaŭlałisia złačynstvam pa nacyjanałʹnych zakonach abo pa mižnarodnamu pravu Nje moža taksama nakładacca pakarannie bołʹš ciažkaje čym toje jakoje magło bycʹ užyta ŭ toj čas kałi złačynstva było zroblena Artykuł
Cantonese,tiu4 ㈠  faan4 hai6 sau6 jing4 si6 hung3 gou3 ge3 jan4 mei6 ging1 wok6 dak1 bin6 wu6 soeng5 so2 seoi1 ge3 jat1 cit3 bou2 zing3 ge3 gung1 hoi1 sam2 pun3 ji4 ji1 faat3 zing3 sat6 jau5 zeoi6 cin4 jau5 kyun4 bei2 si6 wai4 mou5 zeoi6  ㈡  jam6 ho4 jan4 ge3 jam6 ho4 hang4 wai4 waak6 m4 hang4 wai4 hoeng2 keoi5 kei4 faat3 saang1 si4 ji1 gwok3 gaa1 faat3 waak6 gwok3 zai3 faat3 gwan1 m4 kau3 sing4 jing4 si6 zeoi6 ze2 m4 hou2 bei2 pun3 wai4 faan6 jau5 jing4 si6 zeoi6 jing4 fat6 m4 hou2 cung4 gwo3 faan6 zeoi6 si4 sik1 jung6 ge3 faat3 leot6 kwai1 ding6  dai6
Catalan,1 Tots els acusats d un delicte tenen el dret que hom presumeixi la seva innocència fins que no es provi la seva culpabilitat segons la llei en un judici públic en què hom li hagi assegurat totes les garanties necessàries per a la seva defensa 2 Ningú no serà condemnat per actes o omissions que en el moment que varen ésser comesos no eren delictius segons el dret nacional o internacional Tampoc no s imposarà cap pena superior a l aplicable en el moment de cometre el delicte Article
Cebuano,1 Matag usa nga sinumbong sa usa ka may silot nga kalapasan adunay  katungod nga paka ingnon nga walay sala hangtund masuta sumala sa  balaod sa usa ka publiko nga husay diin anaa kaniya ang tanang mga  kasegurohan nga gikinahanglan sa iyang panalipod  2 Walay usa nga hukman nga masalaypon sa bisan unsang salaud nga may  penal nga silot sa saysay sa bisan unsang buhat o pagpakyas nga wala  gibaod sa penal nga kasaypanan ubos sa nasyonal o internasyonal nga  balaod sa panahon nga kini nabuhat Ni ang mas bug at nga silot  ipahamtang kay sa usa nga angay sa panahon nga ang maong salaud  nahimo  Artikulo
Czech,1 Každý kdo je obviněn z trestného činu považuje se za nevinného dokud  není zákonným postupem prokázána jeho vina ve veřejném řízení v němž  mu byly zajištěny veškeré možnosti obhajoby   2 Nikdo nesmí být odsouzen pro čin nebo opomenutí které v dobe kdy byly  spáchány nebyly trestné podle státního nebo mezinárodního práva  Rovnez nesmí být ulozen trest tezší nez jakého bylo lze pouzít v dobe  kdy byl trestný čin spáchán   Článek
Danish,Enhver der anklages for et strafbart forhold har ret til at blive anset for uskyldig indtil hans skyld er godtgjort i henhold til lov ved en offentlig retshandling hvorunder han har fået alle de garantier der er fornødne for hans forsvar Ingen må anses for skyldig i noget strafbart forhold på grund af nogen handling eller undladelse der ikke i henhold til national eller international ret var strafbar på det tidspunkt da den blev begået Der skal heller ikke kunne idømmes strengere straf end fastsat på den tid da det strafbare forhold blev begået Artikel
Dutch,1 Een ieder die wegens een strafbaar feit wordt vervolgd heeft er recht op voor onschuldig gehouden te worden totdat zijn schuld krachtens de wet bewezen wordt in een openbare rechtszitting waarbij hem alle waarborgen nodig voor zijn verdediging zijn toegekend 2 Niemand zal voor schuldig gehouden worden aan enig strafrechtelijk vergrijp op grond van enige handeling of enig verzuim welke naar nationaal of internationaal recht geen strafrechtelijk vergrijp betekenden op het tijdstip waarop de handeling of het verzuim begaan werd Evenmin zal een zwaardere straf worden opgelegd dan die welke ten tijde van het begaan van het strafbare feit van toepassing was Artikel
English,1 Everyone charged with a penal offence has the right to be presumed  innocent until proved guilty according to law in a public trial at which he  has had all the guarantees necessary for his defence   2 No one shall be held guilty of any penal offence on account of any act or  omission which did not constitute a penal offence under national or  international law at the time when it was committed Nor shall a heavier      penalty be imposed than the one that was applicable at the time the penal  offence was committed   Article
Estonian,Igal kuriteos süüdistataval inimesel on õigus sellele et teda loetakse süütuks kuni tema süülisuse kindlakstegemiseni seaduslikus korras avalikul kohtulikul arutamisel kus talle on tagatud kõik võimalused kaitseks Kedagi ei või süüdi mõista kuriteos mõne teo või tegevusetuse eest mis nende kordasaatmise ajal ei olnud kuriteod rahvusliku seaduse või rahvusvahelise õiguse järgi Samuti ei või määrata raskemat karistust kui see mida oleks võinud kohaldada kuriteo kordasaatmise ajal Artikkel
Finnish,artikla  11 artikla  11 artikla  11 artikla        1  Jokaisen rikollisesta teosta syytteessä olevan henkilön edellytetään  olevan syytön siihen asti kunnes hänen syyllisyytensä on laillisesti  todistettu julkisessa oikeudenkäynnissä jossa hänelle turvataan kaikki  hänen puolustustaan varten tarpeelliset takeet      2  Ketään ei pidä tuomita rangaistavaksi teoista tai laiminlyönneistä jotka  eivät kansallisen tai kansainvälisen oikeuden mukaan olleet rikollisia  tekohetkellä Myöskään ei pidä tuomita ankarampaan rangaistukseen  kuin mikä oli sovellettavissa rangaistavan teon suoritushetkellä
French,1 Toute personne accusée d un acte délictueux est présumée innocente jusqu à ce  que sa culpabilité ait été légalement établie au cours d un procès public où toutes les garanties nécessaires à sa défense lui auront été assurées   2 Nul ne sera condamné pour des actions ou omissions qui au moment où elles ont été commises ne constituaient pas un acte délictueux d après le droit national ou  international De même il ne sera infligé aucune peine plus forte que celle qui était  applicable au moment où l acte délictueux a été commisArticle
Frisian,Elk dy't foar in strafber feit ferfolge wurdt hat der rjocht op om foar ûnskuldich hâlden te wurden oant syn skuld út krêft fan 'e wet bewiisd wurdt yn in iepenbiere terjochtsitting dêr't him alle waarboargen nedich foar syn ferdigening by takend binne Nimmen sil foar skuldich hâlden wurde oan hokfoar strafrjochtlik fergryp ek op grûn fan hokker hanling of fersom ek dat neffens nasjonaal of ynternasjonaal rjocht gjin strafrjochtlik fergryp betsjutte op it stuit dat dy hanling of dat fersom begien waard Likemin sil in swierdere straf oplein wurde as de straf dy't fan tapassing wie op it stuit dat it strafbere feit begien waard Kêst
Galician,Toda persoa acusada de delicto ten o dereito a que se presuma a súa inocencia mentres non se probe a súa culpabilidade conforme á lei e en xuízo público no que se lle asegurasen tódalas garantías precisas para a súa defensa Ninguín será condenado por actos ou omisións que no momento de se cometer non fosen delictivos segundo o dereito nacional ou internacional Tampouco se imporá pena máis grave que a aplicable no momento de cometer o delicto Artigo
German,1 Jeder der einer strafbaren Handlung beschuldigt wird hat das Recht als  unschuldig zu gelten solange seine Schuld nicht in einem öffentlichen Verfahren in  dem er alle für seine Verteidigung notwendigen Garantien gehabt hat gemäß dem  Gesetz nachgewiesen ist  2 Niemand darf wegen einer Handlung oder Unterlassung verurteilt werden die zur  Zeit ihrer Begehung nach innerstaatlichem oder internationalem Recht nicht strafbar  war Ebenso darf keine schwerere Strafe als die zum Zeitpunkt der Begehung der  strafbaren Handlung angedrohte Strafe verhängt werden  Artikel
Hawaiian,Ua noa i nā kānaka apau i ho’opa’i ‘ia no ke kalaima ka no’ono’o ‘ana i kona hewa ‘ole a hō’oia pono ‘ia kona ‘a’e i ke kānāwai ma ka ho’okolokolo ‘ana i mua o ka lehulehu a i mālama ‘ia ho’i nā mea apau e pono ai kona ‘ao’ao kūplae ‘A’ole e ho’opa’i kalaima ‘ia ke kanaka i helu ‘ole ‘ia kāna hana he kalaima ma ke kānāwai aupuni a i ‘ole ma ke kānāwai ma waena o nā aupuni i ka wā i hana ‘ia ai ‘A’ole ho’i e hō’oi ‘ia aku ka ho’opa’i ma luna o ka ho’opa’i e kū ana i ka wā i hana ‘ia ai ke kalaima Paukū
Hungarian,cikk   1 Minden büntetendő cselekménnyel vádolt személyt ártatlannak kell vélelmezni  mindaddig amíg bűnősségét nyilvánosan lefolytatott perben a védelméhez szükséges  valamennyi biztosíték mellett törvényesen megállapítják   2 Senkit sem szabad elítélni oly cselekményért vagy mulasztásért amely elkövetése  pillanatában a hazai jog vagy a nemzetközi jog szerint nem volt büntetendő cselekmény  Ugyancsak nem szabad súlyosabb büntetést kiszabni mint amely a büntetendő  cselekmény elkövetése pillanatában volt alkalmazható
Icelandic,grein Hvern þann mann sem borinn er sökum fyrir refsivert athæfi skal telja saklausan unz sök hans her sönnuð lögfullri sönnun fÞrir opinberum dómstóli enda hafi tryggilega verið búið um vörn sakbornings Engan skal telja sekan til refsingar nema verknaður sá eða aðgerðaleysi sem hann er borinn varði refsingu að landslögum eða þjóðarétti á þeim tíma er máli skiptir Eigi má heldur dæma hann til þyngri refsingar en þeirrar sem að lögum var leyfð þegar verknaðurinn var framinn
Ilocano,1 Iti tunggal meysa nga napabasol adda kalinteganna nga maibilang nga  awan iti basolna agingga t saan nga mapaneknekan a nakabasol iti  maipanggep iti linteg iti panakabistana nga nalatak nga adda kenkuana  dagiti amin a gundaway a masapul nga mangikalintegan iti bagina  2 Awan iti siasinoman nga makedngan a nakabasol iti aniaman nga  aramidenna wenno panagliwayna nga saan a nakabasol babaen iti linteg  iti umili wenno linteg ti sangalubongan idi nga naaramid deyta Wenno  saan met a madusa iti nadagdagsen ngem iti deydi impatayda nga basol  nga naaramidna  Artikulo
Indonesian,1 Setiap orang yang dituntut karena disangka melakukan suatu pelanggaran  hukum dianggap tidak bersalah sampai dibuktikan kesalahannya menurut  hukum dalam suatu pengadilan yang terbuka di mana dia memperoleh  semua jaminan yang diperlukan untuk pembelaannya   2 Tidak seorang pun boleh dipersalahkan melakukan pelanggaran hukum  karena perbuatan atau kelalaian yang tidak merupakan suatu pelanggaran  hukum menurut undang undang nasional atau internasional ketika  perbuatan tersebut dilakukan Juga tidak diperkenankan menjatuhkan  hukuman lebih berat daripada hukuman yang seharusnya dikenakan  ketika pelanggaran hukum itu dilakukan   Pasal
Irish,1 Tá an ceart ag gach uile dhuine a chúiseofar i gcion píonóis go measfar é  a bheith neamhchiontach go dtí go gcruthaítear ciontach é de réir dlí i  dtriail phoiblí mar a mbeadh aige na ráthaíochtaí ar fad is gá dá  chosaint     2  Ní dhaorfar duine ar bith a bheith ciontach i gcion píonóis de dheasca  aon ghníomh nó neamhghníomh nach raibh ina chion píonóis tráth a  dhéanta Ná ní ghearrfar píonós níos troime air ná an ceann úd a bhí  infheidhmithe an tráth a rinneadh an cion píonós    Airteagal
Italian,1  Ogni individuo accusato di un reato è presunto innocente sino a che la  sua colpevolezza non sia stata provata legalmente in un pubblico  processo nel quale egli abbia avuto tutte le garanzie necessarie per la  sua difesa   2  Nessun individuo sarà condannato per un comportamento commissivo  od omissivo che al momento in cui sia stato perpetuato non  costituisse reato secondo il diritto interno o secondo il diritto  internazionale Non potrà del pari essere inflitta alcuna pena superiore  a quella applicabile al momento in cui il reato sia stato commesso    Articolo
Javanese,1 Saben uwong kang dinakwa amargo dianggep nidakake laku nalisir saka  undang undang dianggep durung nyandhang kaluputan sadurunge  undang undang mbuktekake kaluputane ing pangadilan kang tinarbuka  ing bab iki saben uwong oleh jaminan kang diperlokake kanggo mbelani  hake  2 Ora ana uwong siji wae kang kena dianggep luput nindakake nglanggar  undang undang utowo tledhor kang ora mujudake tindak nalisir saka  undang undang nasional utowo internasional ing titi mangsa tumindak  mau linakonan Ugo ora prayoga nemtokake paukuman kang luwih abod  katimbang paukuman kang katetepake nalika tindak nglanggar undang  undang iku linakonan  BAB
Kazakh,bap Ќılmıs jasadı dep ayıptalѓan ѕr adam ќorѓanw ќђќıѓı ќamtamasızdandırılıp zaњdı jѕne aşıќ sot talќılawı onıњ kinѕsin tolıќ anıќtaѓanѓa deyin kinѕsiz dep eseptelwge ќђќıѓı bar Eşkim de jasaѓan ѕreketi nemese ѕreketsizdigi negizinde eger ol ѕreketi ђlttıќ zaњdar men xalıќaralıќ ќђkıќ boyınşa ќılmıs bolıp sanalmasa jawapќa tartılmaydı Sonımen ќatar ќılmıs џşin berilgen jaza ќılmıs jasalѓan kezde zaњmen kљzdelgen jazadan awır bolmawѓa tïis
Kyrgyz,statʼja  1 Qylmyş casady dep künöölönğön ar bir adam anyn künöösü myjzamduu  tartipte sottuq maalymduu teriştirüü colu menen belgilenmejinçe  künöösüz dep eseptelüügö uquqtuu munu menen birge ağa qorğonuu üçün  bardyq mümkünçülüktör qamsyz qylynat   2 Qandajdyr bir qylmyş casalğan uçurda al uluttuq myjzamdar ce el  aralyq uquq bojunça qylmyş işi bolup sanalbağan bardyq qylmyştyq  araqetterdi casağandyğy ce araqetsizdigi üçün eç kim cazalanuuğa tijiş  emes Qylmyş casalğan kezde qoldonuluşu mümkün bolğondon dağy oor  caza qoldonuluşu mümkün emes
Latvian,pants Katram kas ir apsúdzèts kriminâlnoziegumâ ir tiesìbas tikt uzskatìtam par nevainìgu kamèr viða vaina nav pierâdìta saskaðâ ar likumu atklâtâ tiesas procesâ kurâ viðam ir bijuøas nodroøinâtas visas savai aizstâvìbai nepiecieøamâs garantijas Nevienu nedrìkst notiesât par sodâmu tiesìbpârkâpumu tâdas darbìbas vai bezdarbìbas dèî kas saskaðâ ar izdarìøanas brìdì spèkâ bijuøajiem nacionâlajiem likumiem vai starptautiskajâm tiesìbâm nebija sodâms tiesìbpârkâpums Tâpat nedrìkst piespriest smagâku sodu nekâ tas kas bija jâpiemèro laikâ kad tika izdarìts sodâmais tiesìbpârkâkums
Lithuanian,straipsnis Kiekvienas žmogus kaltinamas nusikaltimo padarymu laikomas nekaltu tol kol jo kaltumas bus nustatytas įstatymo tvarka viešo teisminio nagrinėjimo metu kur jam bus sudaromos visos būtinos gynybos garantijos Niekas negali būti nuteistas už veiksmus ar neveikimą kurie jų įvykdymo metu nebuvo laikomi nusikaltimais pagal valstybės vidaus įstatymus arba tarptautinę teisę Taip pat negali būti skiriama sunkesnė bausmė už tą kuri buvo taikoma nusikaltimo padarymo momentu
Malagasy,Izay olona voapanga dia heverina ho mbola tsy manan tsiny mandra  pivoakan izay didy manameloka azy Izany didy izany dia havoakan ny tribonaly nitsara am pahibemaso ka nanome ny antoka rehetra fa afaka niaro tena ilay voampanga Tsy misy olona azo helohina noho ny asa na fanadinoana raha toa izany ka natao tamin ny fotoana izay tsy mbola ahafantarana fa mahadiso ilay fihetsika na ilay asa araka ny lalna nasionaly na iraisam pirenena Torak izany koa tsy misy azo saziana mihoatra noho izay sazy voalaza fa ampiharina ao amin ny tany misy azy tamin ny fotoana nanaovany ilay fahadisoana ANDININY FAHA
Malay,1 Setiap orang yang dituduh dengan kesalahan keseksaan adalah berhak  dianggap tidak salah sehingga dibuktikan salah menurut undang undang  di dalam perbicaraan terbuka di mana dia telah diberikan segala jaminan  yang perlu untuk pembelaannya   2 Tiada sesiapa pun boleh diputuskan bersalah atas sebarang kesalahan  keseksaan oleh kerana sebarang tindakan atau ketinggalan yang tidak  merupakan suatu kesalahan kesiksaan di sisi undang undang  kebangsaan atau antarabangsa pada masa ianya dilakukan Tiada pula  boleh dikenakan sebarang hukuman yang lebih berat dari hukuman yang  terpakai ketika kesalahan keseksaan itu dilakukan   Perkara
Mandarin,tiáo ㈠ fán shòu xíng shì kòng gào zhě  zài wèi jīng huò dé biàn hù shàng suǒ xū de yī qiē bǎo zhèng de gōng kāi shěn pàn ér yī fǎ zhèng shí yǒu zuì yǐ qián  yǒu quán bèi shì wéi wú zuì  ㈡ rèn hé rén de rèn hé xíng wéi huò bù xíng wéi  zài qí fā shēng shí yī guó jiā fǎ huò guó jì fǎ jūn bù gòu chéng xíng shì zuì zhě  bù dé bèi pàn wéi fàn yǒu xíng shì zuì  xíng fá bù dé zhòng yú fàn zuì shí shì yòng de fǎ l锟斤拷 guī dìng  dì
Maori,Tekau mā tahi a E whai tika ana ia tangata e whiua ana ki te ture kia kīia he harakore kia oti rā anō te āta whakatau e hara ana ia ki roto i tētahi whakawākanga e puare ana ā kua whakawhiwhia te tangata e whakapaetia ana ki ngā momo āwhina katoa e tika ana ki a ia b Kia kaua tētahi tangata e kīia kei te noho hara ia mō tētahi mahi mō te kore mahi rānei mehemea ehara tērā āhuatanga i te mahi hara i te wā i mahia ai te mahi i kore ai rānei i mahia Kia kaua hoki e utaina ki te tangata he whakawhiu e taimaha ake ana i tērā e mana ana i te wā o te mahi hara Rārangi
Nigerian Pidgin,1 Ani bodi wey dem catch say e do bad still get right to de inosent until di law tell am say e de  guilty afta all hin defense don weak    2 Dem no go hold ani bodi for ani tin wey hin do bad if e no de inside law weda for hin kontri  or for obodo level for di time wey  e do di bad or mek dem giv am beta  purnishment wey  no follo for di purnishment e suppose get normally di time wey di bad happun  ARTICLE
Norwegian,1 Enhver som er anklaget for en straffbar handling har rett til å bli ansett  som uskyldig til det er bevist ved offentlig domstolsbehandling hvor han  har hatt alle de garantier som er nødvendig for hans forsvar at han er  skyldig etter loven   2 Ingen må dømmes for en handling eller unnlatelse som i henhold til  nasjonal lov eller folkeretten ikke var straffbar på den tid da den ble  begått Heller ikke skal det kunne idømmes strengere straff enn den som  det var hjemmel for på den tid da den straffbare handling ble begått   Artikkel
Occitan,Se presumís qu es innocenta tota persona acusada d un acte delictuós tant que sa culpablitat es pas estada establida legalament al cors d un procès public ont totas las garentias necessàrias per la siá defensa li seràn estadas asseguradas Degun serà pas condemnat per d accions o d omissions que quand foguèron comesas constituïssián pas un acte delictuós segon lo drech nacional o internacional S impausarà pas tanpauc cap de pena mai fòrta que la qu èra aplicabla al moment que se cometèt l acte delictuós Article
