Language,Text
Afrikaans,Elkeen as  n lid van die gemeenskap het die reg tot bestaan sekerheid en kan  aanspraak maak op die verwesenliking van die ekonomiese sosiale en kulturele  regte wat noodsaaklik is vir sy waardigheid en die vrye ontwikkeling van sy  persoonlikheid deur middel van nasionale pogings en internasionale  samewerking en volgens die organisasie en hulpbronne van elke staat  Artikel
Azerbaijani,Cəmiyyətin bir üzvü kimi hər bir insan sosial təminat hüququna və öz ləyaqətini  qoruyub saxlaya bilmək və öz şəxsiyyətini azad inkişaf etdirmək üçün iqtisadi sosial və  mədəni sahələrdə zəruri olan hüquqlarını milli səylər və beynəlxalq əməkdaşlıq vasitəsilə  hər bir dövlətin strukturu və resurslarına müvafiq olaraq həyata keçirmək hüququna  malikdir       Maddə
Belarusian,Kožny čałaviek jak člen gramadstva maje prava na sacyjałʹnaje zabiespiačennie i na ažycciaŭlennie nieabchodnych dla padtrymannia jago godnasci i dla svabodnaga razviccia jago asoby pravoŭ u ekanamičnaj sacyjałʹnaj i kułʹturnaj gałinach pry dapamozie nacyjanałʹnych namaganniaŭ i mižnarodnaga supracoŭnictva i ŭ adpaviednasci sa strukturaj i resursami kožnaj dziaržavy  Artykuł
Cantonese,tiu4 mui5 go3 jan4 zok3 wai4 se5 wui2 ge3 jat1 jyun4 jau5 kyun4 hoeng2 sau6 se5 wui2 bou2 zoeng3 bing6 jau5 kyun4 hoeng2 sau6 keoi5 ge3 go3 jan4 zyun1 jim4 tung4 jan4 gaak3 ge3 zi6 jau4 faat3 zin2 so2 bit1 seoi1 ge3 ging1 zai3 se5 wui2 tung4 man4 faa3 fong1 min6 gok3 zung2 kyun4 lei6 ge3 sat6 jin6 ne1 zung2 sat6 jin6 hai6 tung1 gwo3 gwok3 gaa1 nou5 lik6 tung4 gwok3 zai3 hap6 zok3 bing6 ji1 ziu3 gok3 gwok3 ge3 zou2 zik1 tung4 maai4 zi1 jyun4 cing4 fong3   dai6
Catalan,Tota persona com a membre de la societat té dret a la seguretat social i a obtenir mitjançant l esforç nacional i la cooperació internacional segons l organització i els recursos de cada país la satisfacció dels drets econòmics socials i culturals indispensables per a la seva dignitat i el lliure desenvolupament de la seva personalitat Article
Cebuano,Ang matag usa isip sakop sa katilingban may katungod sa sosyal nga panalipod  ug may katungod sa pagtuman pinaagi sa nasyonal nga paningkamot ug  internasyonal nga panagbulig ug diha sa panag uyon uban sa organisasyon og  kahinguhaan sa matag nasud sa ekonomiya sosyal ug kultural nga mga  katungod nga kinahanglanon kaayo alang sa iyang kabililhon og sa gawasnong  paglambo sa iyag pagkatawo  Artikulo
Czech,Každý človĕk má jako člen společnosti právo na sociální zabezpeční a nárok na  to aby mu byla národním úsilím i mezinárodní součinností a v souladu s  organizací a s prostředky príslušného státu zajištěna hospodářská sociální a  kulturní práva nezbytná k jeho důstojnosti a k svobodnému rozvoji jeho  osobnosti   Článek
Danish,Enhver har som medlem af samfundet ret til social tryghed og har krav på at de økonomiske sociale og kulturelle rettigheder der er uundværlige for hans værdighed og hans personligheds frie udvikling gennemføres ved nationale foranstaltninger og internationalt samarbejde og i overensstemmelse med hver stats organisation og hjælpekilder  Artikel
Dutch,Een ieder heeft als lid van de gemeenschap recht op maatschappelijke zekerheid en heeft er aanspraak op dat door middel van nationale inspanning en internationale samenwerking en overeenkomstig de organisatie en de hulpbronnen van de betreffende Staat de economische sociale en culturele rechten die onmisbaar zijn voor zijn waardigheid en voor de vrije ontplooiing van zijn persoonlijkheid verwezenlijkt worden Artikel
English,Everyone as a member of society has the right to social security and is entitled  to realization through national effort and international co operation and in  accordance with the organization and resources of each State of the economic  social and cultural rights indispensable for his dignity and the free development  of his personality   Article
Estonian,Igal inimesel kui ka ühiskonna liikmel on õigus sotsiaalsele kindlustatusele ja tema väärikuse säilitamiseks ning tema isiksuse vabaks arenemiseks vajalike õiguste teostamisele majanduslikul sotsiaalsel ja kultuuri alal rahvuslike jõupingutustega ja rahvusvaheli koostöö kaudu ning vastavalt iga riigi struktuurile ja vahenditele  Artikkel
Finnish,artikla  22 artikla  22 artikla  22 artikla      Jokaisella on yhteiskunnan jäsenenä oikeus sosiaaliturvaan sekä oikeus  kansallisten toimenpiteiden ja kansainvälisen yhteistyön kautta kunkin maan  järjestelmä ja voimavarat huomioonottaen nauttia hänen ihmisarvolleen ja hänen  yksilöllisen olemuksensa vapaalle kehittymiselle välttämättömiä taloudellisia  sosiaalisia ja sivistyksellisiä oikeuksia
French,Toute personne en tant que membre de la société a droit à la sécurité sociale elle  est fondée à obtenir la satisfaction des droits économiques sociaux et culturels  indispensables à sa dignité et au libre développement de sa personnalité grâce à  l effort national et à la coopération internationale compte tenu de l organisation et  des ressources de chaque pays   Article
Frisian,Elk hat as lid fan 'e mienskip rjocht op maatskiplike wissigens en hat der oanspraak op dat troch nasjonale ynspanning en ynternasjonale gearwurking en yn oerienstimming mei de organisaasje en de helpboarnen fan 'e oanbelangjende steat de ekonomyske sosjale en kulturele rjochten dy 't ûnmisber binne foar syn weardichheid en foar it frij ûntploaien fan syn persoanlikheid ferwêzentlike wurde  Kêst
Galician,Toda persoa como membro da sociedade ten dereito á seguridade social e a obter mediante o esforzo nacional e a cooperación internacional habida conta da organización e os recursos de cada estado a satisfacción dos dereitos económicos sociais e culturais indispensables á súa dignidade e ó libre desenvolvemento da súa personalidade  Artigo
German,Jeder hat als Mitglied der Gesellschaft das Recht auf soziale Sicherheit und Anspruch  darauf durch innerstaatliche Maßnahmen und internationale Zusammenarbeit sowie  unter Berücksichtigung der Organisation und der Mittel jedes Staates in den Genuß  der wirtschaftlichen sozialen und kulturellen Rechte zu gelangen die für seine Würde  und die freie Entwicklung seiner Persönlichkeit unentbehrlich sind  Artikel
Hawaiian,Ua noa i nā kānaka apau nā lālā ho’i o ke kaiāulu ka pono o ka lawelawe mālama ola i ho’okō ‘ia ai ho’i ma ke kāko’o ‘ana o ke aupuni a me ke kāko’o ‘ana o nā aupuni ‘ē a’e a i kūlike me ka waiwai o ke aupuni a me nā pono a me nā loina pa’a mau o ke kaiāulu no ka hanohano o ke kanaka a me kona ulu la’ela’e ‘ana  Paukū
Hungarian,cikk   Minden személynek mint a társadalom tagjának joga van a szociális biztonsághoz minden  személynek ugyancsak igénye van arra hogy  az államok erőfeszítései és a nemzetközi  együttműködés eredményeképpen és számot          vetve az egyes országok szervezetével és gazdasági erőforrásaival  a méltóságához és  személyiségének szabadon való kifejlődéséhez szükséges gazdasági szociális és  kulturális jogait kielégíthesse
Icelandic,grein Hver þjóðfélagsþegn skal fyrir atbeina hins opinbera eða alþjóðasamtaka og í samræmi við skipulag og efnahag hvers ríkis eiga kröfu á félagslegu öryggi og þeim efnahagslegum félagslegum og menningarlegum réttindum sem honum eru nauðsynleg til þess að virðing hans og þroski fái notið sin
Igbo,Onye o̟ bu̟lann o̟no̟du̟ ya di ka onye obodo nwere ikike inweta nchedo obodo ma tozukwa oke inweta site n agbamdo̟ obodo ya na enyemaka mba ndi o̟zo̟ di̟ ka nhazi na aku̟̟ na u̟ba Steti o̟ bu̟la siri di̟ ikike sitere n aku̟ na u̟ba o̟no̟du̟ n obodo na omenala bu̟ ikike ndi di̟ oke mkpa mu̟ ugwu ya na ohere ntozu oke ya di̟ ka mmadu̟  Nkeji edemede
Ilocano,Tunggal meysa ket kas meysa nga miembro iti gimong nga adda kalinteganna iti  kinatalged ti gimong ken kaikarianna nga maawatan iti babaen a kabaelan ti umili  ken pannakitinnulong ti sangalubongan a mayannatop ti organisasyon ken  kinabaknang ti tunggal Estado iti panabiag sosyal ken dagiti kalintegan kultural  nga nasken ti kinatak nenga ken ti wayawaya a panangpasayaatna iti kinataona  Artikulo
Indonesian,Setiap orang sebagai anggota masyarakat berhak atas jaminan sosial dan  berhak melaksanakan dengan perantaraan usaha usaha nasional dan kerjasama  internasional dan sesuai dengan organisasi serta sumber sumber kekayaan dari  setiap Negara hak hak ekonomi sosial dan kebudayaan yang sangat diperlukan  untuk martabat dan pertumbuhan bebas pribadinya   Pasal
Irish,Tá ag gach aon duine mar bhall den tsochaí an ceart chun slándála sóisialaí  tá sé i dteideal trí iarracht náisiúnta agus trí chomhar idirnáisiúnta agus de  réir eagrú agus acmhainní de chuid gach Stáit sásamh a bhaint as na cearta i  gcúrsaí eacnamíochta agus sóisialta agus cultúrtha atá éigeantach dá dhínit  agus do shaor fhorbairt a chuid phearsantachta     Airteagal
Italian,Ogni individuo in quanto membro della società ha diritto alla sicurezza  sociale nonché alla realizzazione attraverso lo sforzo nazionale e la  cooperazione internazionale ed in rapporto con l organizzazione e le risorse di  ogni Stato dei diritti economici sociali e culturali indispensabili alla sua  dignità ed al libero sviluppo della sua personalità    Articolo
Javanese,Saben uwong minangka warganing bebrayan (masyarakat) anduweni hak  ingatase jaminan sosial sarta darbe hak amrih kaleksanane hak hak ekonomi  sosial lan budaya sing dadi kaperluwan martabate sarta mekaring pribadine  kanthi bebas lumantar rekadaya nasional utawa karya pamitran internasional  condhong marang tata pranatane lan sumber dayaning Nagara  BAB
