Language,Text
Afrikaans,1 Elkeen het die reg tot  n lewenspeil wat voldoende is vir gesondheid  welsyn vir homself en sy familie insluitende kos klere behuising  mediese sorg en noodsaaklike bestaansekerheid en die reg tot voordele  of onderstandsgeld tydens werkloosheid siekte ongeskiktheid  weduweeskap ouderdom of  n tekort aan lewens middele tydens  omstandighede buite sy beheer  2 Moeders en kinders kan aanspraak maak op spesiale sorg en hulp Alle  kinders hetsy binne  of buite egtelik sal dieselfde sosiale beskerming  geniet  Artikel
Azerbaijani,1  Hər bir insan qida geyim mənzil tibbi qulluq və zəruri sosial xidmətlər də daxil  olmaqla onun özünün və ailəsinin sağlamlığının və rifahının qorunub saxlanılması üçün  zəruri olan həyat səviyyəsinə malik olmaq hüququna və işsizlik xəstəlik əlillik dulluq  qocalıq halında və ondan asılı olmayan digər səbəblərə görə dolanışıq vəsaitlərini itirdiyi  halda təminat hüququna malikdir    2  Analıq və körpəlik xüsusi himayə və yardım hüququ verir Nikahlı və yaxud nikahsız  doğulmuş bütün uşaqlar eyni sosial müdafiədən istifadə etməlidirlər       Maddə
Belarusian,Kožny čałaviek maje prava na taki žycciovy ŭzrovienʹ uklučajučy charč adziennie žyłlo miedycynski doglad i nieabchodnaje sacyjałʹnaje absługoŭvannie jaki nieabchodny dla padtrymannia zdaroŭja i dabrabytu jago samoga i jago siam’i i prava na zabiespiačennie na vypadak biespracoŭja chvaroby invałidnasci udoŭstva nadychodu starasci abo inšaga vypadku straty srodkaŭ da isnavannia pa niezaležačych ad jago akałičnasciach Maciarynstva i dziacinstva dajucʹ prava na asobuju apieku i dapamogu Usie dzieci jakija naradiłisia ŭ šlubie abo pa za šlubam pavinny karystacca adnołʹkavaj sacyjałʹnaj abaronaj Artykuł
Cantonese,tiu4 ㈠  jan4 jan4 jau5 kyun4 hoeng2 sau6 wai4 wai4 ci4 keoi5 bun2 jan4 tung4 gaa1 suk6 ge3 gin6 hong1 tung4 maai4 fuk1 lei6 so2 seoi1 ge3 saang1 wut6 seoi2 zeon2 baau1 kut3 sik6 mat6 ji1 zyu3 zyu6 fong4 ji1 liu4 tung4 bit1 jiu3 ge3 se5 wui2 fuk6 mou6 ；hai2 zou1 dou3 sat1 jip6 zat6 beng6 caan4 fai3 sau2 gwaa2 seoi1 lou5 waak6 hoeng2 kei4 taa1 m4 nang4 gau3 hung3 zai3 ge3 cing4 fong3 haa6 song3 sat1 mau4 saang1 nang4 lik6 si4 jau5 kyun4 hoeng2 sau6 bou2 zoeng3  ㈡  aa3 maa1 tung4 sai3 nou4 jau5 kyun4 hoeng2 sau6 dak6 bit6 ziu3 gu3 gim1 hip3 zo6 jat1 cit3 sai3 nou4 m4 leon6 fan1 saang1 waak6 fei1 fan1 saang1 kam2 di1 dou1 jing3 hoeng2 sau6 tung4 joeng6 ge3 se5 wui2 bou2 wu6   dai6
Catalan,1 Tota persona té dret a un nivell de vida que asseguri per a ell i la seva família la salut i el benestar especialment quant a alimentació vestir habitatge assistència mèdica i als serveis socials necessaris també té dret a la seguretat en cas d atur malaltia incapacitat viduïtat vellesa o altra manca de mitjans de subsistència independent de la seva voluntat 2 La maternitat i la infantesa tenen dret a una cura i a una assistència especials Tots els infants nascuts d un matrimoni o fora d un matrimoni gaudeixen d igual protecció social Article
Cebuano,1 Ang matag usa adunay katungod sa panig ingnan nga pagkinabuhi husto  alang sa maayong panglawas og kauswagan sa iyang kaugalingon ug sa  iyang pamilya lakip na ang pagkaon bisti balay ug medisina nga pag  amuma ug gikinahanglang serbisyo sosyal ug katungod sa seguridad sa  panahon nga mawad an og trabaho sakit kabilinggan sa panglawas  pagkabalo pagkatigulang o uban nga kulang sa panginabuhi sama sa  kahimtang nga wala sa atong pagdumala  2 Ang mga inahan ug kabataan may katungod sa linain nga pag amuma ug  panabang Tanang kabataan nga natawo sulod o gawas sa kaminyoon  makapahimulos sa managsamang sosyal nga panalipod  Artikulo
Czech,1 Každý má právo na takovou životní úroveň která by byla s to zajistit jeho  zdraví a blahobyt i zdraví a blahobyt jeho rodiny počítajíc v to zejména  výživu šatstvo byt a lékařskou péči jakož i nezbytná sociální opatření  má právo na zabezpečení v nezaměstnanosti v nemoci při nezpůsobilosti  k práci při ovdovění ve stáří nebo v ostatních případech ztráty  výdělečných možností nastalé v důsledku okolností nezávislých na jeho  vůli   2 Mateřství a dětství mají nárok na zvláštní péči a pomoc Všechny děti ať  manželské nebo nemanželské pozívají stejné sociální ochrany   Článek
Danish,Enhver har ret til en sådan levefod som er tilstrækkelig til hans og hans families sundhed og velvære herunder til føde klæder bolig og lægehjælp og de nødvendige sociale goder og ret til tryghed i tilfælde af arbejdsløshed sygdom uarbejdsdygtighed enkestand alderdom eller andet tab af fortjenstmulighed under omstændigheder der ikke er selvforskyldt Mødre og børn har krav på særlig omsorg og hjælp Alle børn skal hvadenten de er født i eller udenfor ægteskab have den samme sociale beskyttelse Artikel
Dutch,1 Een ieder heeft recht op een levensstandaard die hoog genoeg is voor de gezondheid en het welzijn van zichzelf en zijn gezin waaronder inbegrepen voeding kleding huisvesting en geneeskundige verzorging en de noodzakelijke sociale diensten alsmede het recht op voorziening in geval van werkloosheid ziekte invaliditeit overlijden van de echtgenoot ouderdom of een ander gemis aan bestaansmiddelen ontstaan ten gevolge van omstandigheden onafhankelijk van zijn wil 2 Moeder en kind hebben recht op bijzondere zorg en bijstand Alle kinderen al dan niet wettig zullen dezelfde sociale bescherming genieten Artikel
English,1 Everyone has the right to a standard of living adequate for the health and  well being of himself and of his family including food clothing housing  and medical care and necessary social services and the right to security  in the event of unemployment sickness disability widowhood old age or  other lack of livelihood in circumstances beyond his control   2 Motherhood and childhood are entitled to special care and assistance All  children whether born in or out of wedlock shall enjoy the same social  protection   Article
