Language,Text
Afrikaans,Elkeen het oral die reg tot erkenning as  n persoon voor die reg  Artikel
Azerbaijani,Hər bir insan harada olmasından asılı olmayaraq özünün hüquq subyekti kimi qəbul  edilməsi hüququna malikdir       Maddə
Belarusian,Kožny čałaviek dzie b jon ni znachodziŭsia maje prava na pryznannie jago pravasub’jektnasci  Artykuł
Cantonese,tiu4 jan4 jan4 hai2 bin1 dou6 kam2 di1 dou1 jau5 kyun4 bei2 sing4 jing6 hoeng2 faat3 leot6 cin4 ge3 jan4 gaak3   dai6
Catalan,Tota persona té el dret arreu al reconeixement de la seva personalitat jurídica Article
Cebuano,Ang matag usa adunay katungod nga ilhon isip tawo atubangan sa balaod  Artikulo
Czech,Každý má právo na to aby byla všude uznávána jeho právní osobnost       Článek
Danish,Ethvert menneske har overalt i verden ret til at blive anerkendt som retssubjekt  Artikel
Dutch,Een ieder heeft waar hij zich ook bevindt het recht als persoon erkend te worden voor de wet Artikel
English,Everyone has the right to recognition everywhere as a person before the law   Article
Estonian,Igal inimesel ükskõik kus ta ka ei viibiks on õigus oma õigussubjektsuse tunnustamisele  Artikkel
Finnish,artik 6 artik 6 artik 6 artikla  la  la  la      Jokaisella ihmisellä on kaikkialla oikeus siihen että hänet henkilönä tunnustetaan  lain edessä
French,Chacun a le droit à la reconnaissance en tous lieux de sa personnalité juridique   Article
Frisian,Elk hat wêr't er ek is it rjocht om as persoan erkend te wurden foar de wet  Kêst
Galician,Todo ser humano ten dereito en tódalas partes ó reconecemento da súa persoalidade  Artigo
German,Jeder hat das Recht überall als rechtsfähig anerkannt zu werden  Artikel
Hawaiian,E ‘ike ‘ia nā kānaka ma nā wahi apau he kanaka i ka malu o ke kānāwai  Paukū
Hungarian,cikk   Mindenkinek joga van ahhoz hogy jogalanyiságát bárhol elismerjék
Icelandic,grein Allir menn skulu hvar í heimi sem er eiga kröfu á að vera viðurkenndir aðilar að lögum
Igbo,Onye o̟ bu̟la nwere ikike nkwanyere ugwu di̟ ka mmadu̟ ebe o̟ bu̟la n usoro iwu  Nkeji edemede
Ilocano,Tunggal meysa addaan kalintegan a bigbigen sadinoman iti ayanna nga kas  meysa nga tao iti sangnguanan ti linteg  Artikulo
Indonesian,Setiap orang berhak atas pengakuan di depan hukum sebagai pribadi di mana  saja ia berada   Pasal
Irish,Tá ag gach aon dhuine an ceart ar aithint i ngach aon áit mar phearsa os  comhair an dlí     Airteagal
Italian,Ogni individuo ha diritto in ogni luogo al riconoscimento della sua personalità  giuridica    Articolo
Javanese,Saben uwong darbe hak tumrap paseksi ing sajroning angger angger (undang  undang) minongka umat manungsa sacara pribadi ing endi wae papan dununge  BAB
Kazakh,bap Ѕr adam ќay jerde jџrse de ќђќıќtıќ swb’’ektisi retinde tanılwına ќђќılı
Kyrgyz,statʼja  Qajsy ğana cerde bolbosun ar bir adam özünün uquqqa ee subʼekt  ekendiginin taanylyşyna uquqtuu
Latvian,pants Ikvienam visur ir tiesìbas bút atzìtam par personu likuma priekøâ
Lithuanian,straipsnis Kiekvienas žmogus kad ir kur jis būtų turi teisę būti pripažintas teisinių santykių subjektu
