Language,Text
Afrikaans,1 Elkeen het die reg tot opvoeding Opvoeding sal gratis wees ten minste in  die elementêre en fundamentele stadiums Elementêre opvoeding sal  verpligtend wees Tegniese en professionele opvoeding sal geredelik  beskikbaar wees en ho‘r opvoeding sal net so geredelik op meriete  beskikbaar wees  2 Opvoeding sal gemik wees op die volle ontwikkeling van die menslike  persoonlikheid en op die bevordering van respek vir menseregte en  fundamentele vryheid Dit sal begrip verdraag saamheid en vriendskap  tussen alle nasies rasse of etniese groepe bevorder asook die aktiwiteite  van die Verenigde Volke in die handhawing van vrede  3 Ouers het die reg om te kies watter tipe opvoeding hulle kinders ontvang  Artikel
Azerbaijani,1  Hər bir insan təhsil almaq hüququna malikdir Təhsil ən azı ibtidai və ümumi  səviyyələrdə pulsuz olmalıdır Đbtidai təhsil məcburi olmalıdır Hamının texniki və peşə  təhsili almaq imkanı olmalıdır və hər bir insanın qabiliyyəti əsasında hamının eyni  dərəcədə ali təhsil almaq imkanı olmalıdır    2  Təhsil insan şəxsiyyətinin tam inkişafına və insan hüquqlarına və əsas azadlıqlara  hörmətin artırılmasına yönəldilməlidir Təhsil bütün xalqlar irqi və dini qruplar arasında  qarşılıqlı anlaşmaya dözümlülüyə və dostluğa yardımçı olmalı və Birləşmiş Millətlər  Təşkilatının sülhün qorunub saxlanması ilə bağlı fəaliyyətinə köməklik göstərməlidir    3  Valideynlər öz kiçik yaşlı uşaqları üçün təhsil növlərini seçməkdə prioritet hüquqa  malikdirlər       Maddə
Belarusian,Kožny čałaviek maje prava na adukacyju Adukacyja pavinna bycʹ biaspłatnaj pa mienšaj miery ŭ tym što datyčycʹ pačatkovaj i agułʹnaj adukacyi Pačatkovaja adukacyja pavinna bycʹ abaviazkovaj Techničnaja i prafiesijanałʹnaja adukacyja pavinna bycʹ agułʹnadastupnaj i vyšejšaja adukacyja pavinna bycʹ adnołʹkava dastupnaj dla ŭsich na padstavie zdołʹnasciej kožnaga Adukacyja pavinna bycʹ nakiravana da poŭnaga razviccia čałaviečaj asoby i da paviełičennia pavagi da pravoŭ čałavieka i asnoŭnych svabod Adukacyja pavinna sadziejničacʹ uzajemarazumienniu ciarpimasci i družbie pamiž usimi narodami rasavymi abo rełigijnymi grupami i pavinna sadziejničacʹ dziejnasci Arganizacyi Ab’jadnanych Nacyj pa padtrymanniu miru Bacʹki majucʹ prava pryjarytetu ŭ vybary vidu adukacyi dla svaich małaletnich dziaciej Artykuł
Cantonese,tiu4 ㈠  jan4 jan4 kam2 di1 dou1 jau5 sau6 gaau3 juk6 ge3 kyun4 lei6 gaau3 juk6 jing3 dong1 min5 fai3 zi3 siu2 hai2 co1 kap1 tung4 maai4 gei1 bun2 gaai1 dyun6 jing3 dong1 hai6 gam3 joeng6 co1 kap1 gaau3 juk6 jing3 dong1 hai6 ji6 mou6 sing3 zat1 gei6 seot6 tung4 maai4 zik1 jip6 gaau3 juk6 jing3 dong1 pou2 pin3 cit3 lap6 gou1 dang2 gaau3 juk6 jing3 dong1 gan1 geoi3 sing4 zik1 ji4 deoi3 jat1 cit3 jan4 ping4 dang2 hoi1 fong3  ㈡  gaau3 juk6 ge3 muk6 dik1 hai6 cung1 fan1 faat3 zin2 jan4 ge3 go3 sing3 gim1 gaa1 koeng4 deoi3 jan4 kyun4 tung4 maai4 gei1 bun2 zi6 jau4 ge3 zyun1 cung4 gaau3 juk6 jing3 dong1 cuk1 zeon3 gok3 gwok3 gok3 zung2 zuk6 waak6 gok3 zung1 gaau3 zaap6 tyun4 gaan1 ge3 liu5 gaai2 jung4 jan2 tung4 jau5 ji4 gim1 cuk1 zeon3 lyun4 hap6 gwok3 wai4 wu6 wo4 ping4 ge3 gok3 hong6 wut6 dung6 ㈢  aa3 baa1 aa3 maa1 deoi3 keoi5 dei2 ge3 sai3 nou4 so2 jing3 sau6 ge3 gaau3 juk6 ge3 zung2 leoi6 jau5 jau1 sin1 syun2 zaak6 ge3 kyun4 lei6 dai6
Catalan,1 Tota persona té dret a l educació L educació serà gratuïta si més no en la instrucció elemental i fonamental La instrucció elemental serà obligatòria L ensenyament tècnic i professional es posarà a l abast de tothom i l accés a l ensenyament superior serà igual per a tots en funció dels mèrits respectius 2 L educació tendirà al ple desenvolupament de la personalitat humana i a l enfortiment del respecte als drets humans i a les llibertats fonamentals promourà la comprensió la tolerància i l amistat entre totes les nacions i grups ètnics o religiosos i fomentarà les activitats de les Nacions Unides per al manteniment de la pau 3 El pare i la mare tenen dret preferent d escollir la mena d educació que serà donada als seus fills Article
Cebuano,1 Ang matag usa adunay katungod sa edukasyon Kinahanglan nga ang  edukasyon walay bayad bisan diha na lang sa elementarya ug sa  sukaranang ang ang Ang elementarya nga edukasyon kinahanglan  pinugos Tiknikal og propisyonal nga edukasyon pagahimoon nga  mapuslan ug ang hataas nga edukasyon gikinahanglang makab ot sa  tanan basi sa katakus  2 Ang edukasyon maggiya sa tibook nga paglambo sa tawhanong  personalidad ug sa paglig on sa patahod sa tawhanong mga katungod ug  sukaranang mga kagawasan Kini makapausbaw sa pagsabot pagka  mapasayloon ug panaghigalaay sa mga kanasuran kaliwatan o relihiyong  mga pundok og magapadayon sa mga kalihukan sa Tinipong Kanasuran  alang sa paggalam sa kalinaw  3 Ang mga ginikanan adunay unang katungod sa pagpili sa matang sa  edukasyon nga mahatag sa ilang mga anak  Artikulo
Czech,1 Každý má právo na vzdělání Vzdělání nechť je bezplatné alespoň v  počátečních a základních stupních Základní vzdělání je povinné  Technické a odborné vzdělání budiž všeobecně přístupné a rovněž vyšší  vzdělání má být stejně přístupné všem podle schopností   2 Vzdělání má směřovat k plnému rozvoji lidské osobnosti a k posílení úcty  k lidským právům a základním svobodám Má napomáhat k vzájemnému  porozumění snášenlivosti a přátelství mezi všemi národy a všemi  skupinami rasovými i náboženskými jakož i k rozvoji činnosti Spojených  národů pro zachování míru   3 Rodiče mají přednostní právo volit druh vzdělání pro své děti   Článek
Danish,Enhver har ret til undervisning Undervisningen skal være gratis i det mindste på de elementære og grundlæggende trin Elementær undervisning skal være obligatorisk Teknisk og faglig uddannelse skal gøres almindelig tilgængelig for alle og på grundlag af evner skal der være lige adgang for alle til højere undervisning Undervisningen skal tage sigte på den menneskelige personligheds fulde udvikling og på at styrke respekten for menneskerettigheder og grundlæggende friheder Den skal fremme forståelse tolerance og venskab mellem alle nationer og racemæssige og religiøse grupper og den skal fremme De forenede Nationers arbejde til fredens bevarelse Forældre har førsteret til at vælge den form for undervisning som deres børn skal have Artikel
Dutch,1 Een ieder heeft recht op onderwijs het onderwijs zal kosteloos zijn althans wat het lager en basisonderwijs betreft Het lager onderwijs zal verplicht zijn Ambachtsonderwijs en beroepsopleiding zullen algemeen beschikbaar worden gesteld Hoger onderwijs zal openstaan voor een ieder die daartoe de begaafdheid bezit 2 Het onderwijs zal gericht zijn op de volle ontwikkeling van de menselijke persoonlijkheid en op de versterking van de eerbied voor de rechten van de mens en de fundamentele vrijheden Het zal het begrip de verdraagzaamheid en de vriendschap onder alle naties rassen of godsdienstige groepen bevorderen en het zal de werkzaamheden van de Verenigde Naties voor de handhaving van de vrede steunen 3 Aan de ouders komt in de eerste plaats het recht toe om de soort van opvoeding en onderwijs te kiezen welke aan hun kinderen zal worden gegeven Artikel
English,1 Everyone has the right to education Education shall be free at least in the  elementary and fundamental stages Elementary education shall be  compulsory Technical and professional education shall be made  generally available and higher education shall be equally accessible to all  on the basis of merit   2 Education shall be directed to the full development of the human  personality and to the strengthening of respect for human rights and  fundamental freedoms It shall promote understanding tolerance and  friendship among all nations racial or religious groups and shall further  the activities of the United Nations for the maintenance of peace   3 Parents have a prior right to choose the kind of education that shall be  given to their children   Article
